Timestamp,Full Name,  Age Group  ,State of Residence,Have you ever visited Uttar Pradesh?,What is your dietary preference? ,Which of the following Uttar Pradesh's dishes do you know about or have you tried? (Vegetarian),Which of the following Uttar Pradesh's dishes do you know about or have you tried?  (Non-Vegetarian),Would you like to visit Uttar Pradesh in future? (rate:1-5),For what purpose would you like to visit Uttar Pradesh,What kind of stay would to prefer in Uttar Pradesh?,What kind of food would you like to try in Uttar Pradesh?,"Below are the top 10 famous cuisines of Uttar Pradesh, choose that which of the dishes would you try.",Cluster,Visited_UP
79,105,0,7,1,2,51,33,1.0596703760387638,14,30,14,50,2,
80,87,0,8,0,2,82,4,0.2532545552797044,15,19,3,59,0,
80,79,0,8,0,0,17,4,-2.1659929069974733,15,19,3,59,1,
81,114,2,2,0,3,17,4,-2.1659929069974733,15,19,3,59,1,
82,23,0,7,0,2,61,55,-0.5531612654793548,1,0,16,20,0,
83,71,0,8,0,2,71,14,1.0596703760387638,4,18,11,23,2,
84,46,0,8,0,4,38,31,0.2532545552797044,1,18,3,12,0,
85,91,0,7,0,2,13,47,-0.5531612654793548,10,18,11,55,0,
86,43,0,7,1,4,60,37,0.2532545552797044,10,0,19,15,0,
87,66,0,7,1,4,21,37,0.2532545552797044,0,0,19,40,0,
88,74,0,8,0,2,76,32,1.0596703760387638,7,18,3,59,2,
89,40,0,8,0,4,37,32,-0.5531612654793548,12,0,14,15,0,
90,68,0,20,1,2,57,49,1.0596703760387638,7,27,3,33,2,
91,48,0,8,0,4,36,22,-1.3595770862384142,7,27,3,33,1,
92,112,0,8,0,2,32,22,1.0596703760387638,11,19,16,40,2,
93,104,0,8,0,2,92,53,1.0596703760387638,9,14,14,65,2,
94,64,0,8,0,2,65,56,0.2532545552797044,10,8,16,37,0,
94,41,0,8,1,3,65,56,-0.5531612654793548,7,18,21,44,0,
95,69,1,16,1,2,53,50,1.0596703760387638,7,17,16,59,2,
96,73,0,11,1,4,58,50,0.2532545552797044,11,4,19,18,0,
97,96,0,10,0,2,33,25,-0.5531612654793548,11,19,3,34,0,
98,99,0,7,1,2,40,48,1.0596703760387638,15,0,1,59,2,
99,89,0,7,0,2,53,46,1.0596703760387638,0,23,3,59,2,
100,42,0,8,0,3,29,46,0.2532545552797044,11,1,3,59,0,
101,101,0,5,0,4,35,46,0.2532545552797044,15,9,19,15,0,
102,103,0,8,1,4,90,31,0.2532545552797044,15,25,3,59,0,
103,81,0,6,1,2,44,41,-0.5531612654793548,0,32,3,28,0,
103,113,0,8,0,2,59,46,0.2532545552797044,1,24,2,32,0,
104,44,0,8,1,2,77,35,-0.5531612654793548,0,18,10,4,0,
105,82,0,7,0,2,50,30,0.2532545552797044,15,22,3,51,0,
106,78,0,8,1,4,0,30,-0.5531612654793548,15,34,21,45,0,
107,90,0,21,1,2,37,43,1.0596703760387638,10,8,5,14,2,
108,3,0,8,0,2,91,36,0.2532545552797044,4,29,2,60,0,
109,98,0,8,0,4,75,31,-0.5531612654793548,7,18,19,3,0,
110,61,0,7,0,2,34,58,0.2532545552797044,10,19,4,25,0,
111,85,0,4,1,2,3,58,-0.5531612654793548,15,2,13,59,0,
112,92,0,8,0,4,87,58,0.2532545552797044,15,24,8,46,0,
113,28,3,8,1,4,15,58,0.2532545552797044,8,18,19,5,0,
114,57,0,7,0,4,86,58,-0.5531612654793548,6,26,3,8,0,
115,26,3,0,0,3,86,46,-2.1659929069974733,6,26,3,8,1,
116,4,0,8,1,2,1,46,0.2532545552797044,11,18,18,42,0,
